 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220110T2300,-0.3097546,92.0692,7.127636,44.999985
20220111T0000,-0.51975465,90.76286,7.145796,40.914368
20220111T0100,-0.1297546,90.06312,6.792466,32.005356
20220111T0200,-0.3197546,90.44586,5.8048253,29.744873
20220111T0300,-0.39975458,91.0439,6.9153743,38.659805
20220111T0400,-0.2697546,91.46137,7.127636,44.999985
20220111T0500,-0.5797546,91.56948,6.638072,40.601288
20220111T0600,-0.29975462,91.4587,6.6185193,22.380127
20220111T0700,0.6302454,89.14759,7.289444,20.224854
20220111T0800,0.9102454,89.1768,7.754637,21.801407
20220111T0900,1.1202455,88.806595,6.5693827,9.462311
20220111T1000,1.6902454,88.02613,7.342588,11.309921
20220111T1100,1.9902455,87.35501,10.30883,24.775131
20220111T1200,2.7702456,81.77639,11.480557,41.18593
20220111T1300,3.4902453,77.75489,11.720751,47.489548
20220111T1400,3.9802456,73.153076,11.304229,52.76516
20220111T1500,4.3202453,70.89914,10.514218,51.95294
20220111T1600,3.9102454,75.58963,7.127636,44.999985
20220111T1700,1.5402454,83.352005,6.4096174,38.157227
20220111T1800,0.6902454,84.03543,7.289445,32.905228
20220111T1900,0.16024542,85.02969,8.0899935,32.275635
20220111T2000,-0.48975456,84.94145,7.9036193,30.068573
20220111T2100,-0.85975456,84.63624,7.289445,32.905228
20220111T2200,-1.0097545,83.79212,6.8777895,47.121094
20220111T2300,-1.3297546,84.63414,6.763786,64.79888
20220112T0000,-1.7397546,84.768425,6.519877,83.65981
20220112T0100,-2.1897545,85.54449,5.8603754,79.38034
20220112T0200,-2.5497546,85.95168,5.6920996,71.56504
20220112T0300,-2.7997546,85.266045,6.151683,69.443954
20220112T0400,-2.9797544,85.56699,5.8603754,79.38034
20220112T0500,-3.1897545,85.276924,5.506941,78.69006
20220112T0600,-3.1097546,84.18629,5.6920996,71.56504
20220112T0700,-3.1197548,83.41466,5.5887027,75.06858
20220112T0800,-3.2597547,81.80736,5.0528407,85.91438
20220112T0900,-1.9497546,79.37598,3.7585104,73.30075
20220112T1000,-0.7197546,76.114624,4.6938252,94.398705
20220112T1100,0.2702454,72.051125,4.2136917,109.9831
20220112T1200,1.2202454,68.33605,4.6102495,51.34018
20220112T1300,1.7502455,67.792946,5.495161,31.607498
20220112T1400,2.4202454,66.88893,5.1919937,33.690063
20220112T1500,2.8202453,65.79163,6.297428,30.963745
20220112T1600,2.4702454,71.182785,5.3999996,36.86989
20220112T1700,0.3002454,79.88505,6.696387,53.746155
20220112T1800,-1.0097545,84.55171,6.489992,70.55996
20220112T1900,-1.7997545,86.63756,6.638072,49.398697
20220112T2000,-2.2097545,87.97177,5.8048253,60.25511
20220112T2100,-2.5197544,89.27682,4.452954,75.96376
20220112T2200,-3.0497546,90.24075,5.495161,58.392494
20220112T2300,-3.3897548,89.3848,3.396233,57.994614
20220113T0000,-3.6697545,89.76422,3.7585104,73.30075
20220113T0100,-3.8997545,90.56654,3.6179552,84.289406
